text,textLen,wordCount,features,scaledFeatures,tokenizedWordsString
"she had known them all her life. Indeed, she had quite a long argument",70,14,"[70.0,14.0]","[0.9294415341483986,1.0384566305038794]","[she, had, known, them, all, her, life., indeed,, she, had, quite, a, long, argument]"
"with the Lory, who at last turned sulky, and would only say, “I am",66,14,"[66.0,14.0]","[0.7936691552609052,1.0384566305038794]","[with, the, lory,, who, at, last, turned, sulky,, and, would, only, say,, “i, am]"
"older than you, and must know better;” and this Alice would not allow",69,13,"[69.0,13.0]","[0.8954984394265252,0.8564860118892829]","[older, than, you,, and, must, know, better;”, and, this, alice, would, not, allow]"
"without knowing how old it was, and, as the Lory positively refused to",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[without, knowing, how, old, it, was,, and,, as, the, lory, positively, refused, to]"
"tell its age, there was no more to be said.",43,10,"[43.0,10.0]","[0.012977976657817879,0.31057415604549354]","[tell, its, age,, there, was, no, more, to, be, said.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"At last the Mouse, who seemed to be a person of authority among them,",69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[at, last, the, mouse,, who, seemed, to, be, a, person, of, authority, among, them,]"
"called out, “Sit down, all of you, and listen to me! _I’ll_ soon make",69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[called, out,, “sit, down,, all, of, you,, and, listen, to, me!, _i’ll_, soon, make]"
"you dry enough!” They all sat down at once, in a large ring, with the",69,15,"[69.0,15.0]","[0.8954984394265252,1.2204272491184758]","[you, dry, enough!”, they, all, sat, down, at, once,, in, a, large, ring,, with, the]"
"Mouse in the middle. Alice kept her eyes anxiously fixed on it, for she",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[mouse, in, the, middle., alice, kept, her, eyes, anxiously, fixed, on, it,, for, she]"
felt sure she would catch a bad cold if she did not get dry very soon.,70,16,"[70.0,16.0]","[0.9294415341483986,1.4023978677330722]","[felt, sure, she, would, catch, a, bad, cold, if, she, did, not, get, dry, very, soon.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Ahem!” said the Mouse with an important air, “are you all ready? This",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[“ahem!”, said, the, mouse, with, an, important, air,, “are, you, all, ready?, this]"
"is the driest thing I know. Silence all round, if you please! ‘William",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[is, the, driest, thing, i, know., silence, all, round,, if, you, please!, ‘william]"
"the Conqueror, whose cause was favoured by the pope, was soon submitted",71,12,"[71.0,12.0]","[0.963384628870272,0.6745153932746865]","[the, conqueror,, whose, cause, was, favoured, by, the, pope,, was, soon, submitted]"
"to by the English, who wanted leaders, and had been of late much",64,13,"[64.0,13.0]","[0.7257829658171584,0.8564860118892829]","[to, by, the, english,, who, wanted, leaders,, and, had, been, of, late, much]"
"accustomed to usurpation and conquest. Edwin and Morcar, the earls of",69,11,"[69.0,11.0]","[0.8954984394265252,0.49254477466009]","[accustomed, to, usurpation, and, conquest., edwin, and, morcar,, the, earls, of]"
Mercia and Northumbria—’”,25,3,"[25.0,3.0]","[-0.5979977283359026,-0.9632201742566815]","[mercia, and, northumbria—’”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Ugh!” said the Lory, with a shiver.",36,7,"[36.0,7.0]","[-0.22462368639529565,-0.23533769979829575]","[“ugh!”, said, the, lory,, with, a, shiver.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“I beg your pardon!” said the Mouse, frowning, but very politely: “Did",70,12,"[70.0,12.0]","[0.9294415341483986,0.6745153932746865]","[“i, beg, your, pardon!”, said, the, mouse,, frowning,, but, very, politely:, “did]"
you speak?”,11,2,"[11.0,2.0]","[-1.0732010544421295,-1.145190792871278]","[you, speak?”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
“Not I!” said the Lory hastily.,31,6,"[31.0,6.0]","[-0.39433916000466246,-0.4173083184128922]","[“not, i!”, said, the, lory, hastily.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“I thought you did,” said the Mouse. “—I proceed. ‘Edwin and Morcar,",68,12,"[68.0,12.0]","[0.8615553447046519,0.6745153932746865]","[“i, thought, you, did,”, said, the, mouse., “—i, proceed., ‘edwin, and, morcar,]"
"the earls of Mercia and Northumbria, declared for him: and even",63,11,"[63.0,11.0]","[0.6918398710952851,0.49254477466009]","[the, earls, of, mercia, and, northumbria,, declared, for, him:, and, even]"
"Stigand, the patriotic archbishop of Canterbury, found it advisable—’”",70,9,"[70.0,9.0]","[0.9294415341483986,0.1286035374308971]","[stigand,, the, patriotic, archbishop, of, canterbury,, found, it, advisable—’”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
“Found _what_?” said the Duck.,30,5,"[30.0,5.0]","[-0.4282822547265358,-0.5992789370274886]","[“found, _what_?”, said, the, duck.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Found _it_,” the Mouse replied rather crossly: “of course you know",67,11,"[67.0,11.0]","[0.8276122499827785,0.49254477466009]","[“found, _it_,”, the, mouse, replied, rather, crossly:, “of, course, you, know]"
what ‘it’ means.”,17,3,"[17.0,3.0]","[-0.8695424861108895,-0.9632201742566815]","[what, ‘it’, means.”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“I know what ‘it’ means well enough, when _I_ find a thing,” said the",69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[“i, know, what, ‘it’, means, well, enough,, when, _i_, find, a, thing,”, said, the]"
"Duck: “it’s generally a frog or a worm. The question is, what did the",69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[duck:, “it’s, generally, a, frog, or, a, worm., the, question, is,, what, did, the]"
archbishop find?”,17,2,"[17.0,2.0]","[-0.8695424861108895,-1.145190792871278]","[archbishop, find?”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"The Mouse did not notice this question, but hurriedly went on, “‘—found",71,12,"[71.0,12.0]","[0.963384628870272,0.6745153932746865]","[the, mouse, did, not, notice, this, question,, but, hurriedly, went, on,, “‘—found]"
it advisable to go with Edgar Atheling to meet William and offer him,68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[it, advisable, to, go, with, edgar, atheling, to, meet, william, and, offer, him]"
the crown. William’s conduct at first was moderate. But the insolence,69,11,"[69.0,11.0]","[0.8954984394265252,0.49254477466009]","[the, crown., william’s, conduct, at, first, was, moderate., but, the, insolence]"
"of his Normans—’ How are you getting on now, my dear?” it continued,",68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[of, his, normans—’, how, are, you, getting, on, now,, my, dear?”, it, continued,]"
turning to Alice as it spoke.,29,6,"[29.0,6.0]","[-0.46222534944840915,-0.4173083184128922]","[turning, to, alice, as, it, spoke.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“As wet as ever,” said Alice in a melancholy tone: “it doesn’t seem to",70,14,"[70.0,14.0]","[0.9294415341483986,1.0384566305038794]","[“as, wet, as, ever,”, said, alice, in, a, melancholy, tone:, “it, doesn’t, seem, to]"
dry me at all.”,15,4,"[15.0,4.0]","[-0.9374286755546362,-0.781249555642085]","[dry, me, at, all.”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“In that case,” said the Dodo solemnly, rising to its feet, “I move",67,13,"[67.0,13.0]","[0.8276122499827785,0.8564860118892829]","[“in, that, case,”, said, the, dodo, solemnly,, rising, to, its, feet,, “i, move]"
"that the meeting adjourn, for the immediate adoption of more energetic",70,11,"[70.0,11.0]","[0.9294415341483986,0.49254477466009]","[that, the, meeting, adjourn,, for, the, immediate, adoption, of, more, energetic]"
remedies—”,10,1,"[10.0,1.0]","[-1.107144149164003,-1.3271614114858743]",[remedies—”]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
“Speak English!” said the Eaglet. “I don’t know the meaning of half,67,12,"[67.0,12.0]","[0.8276122499827785,0.6745153932746865]","[“speak, english!”, said, the, eaglet., “i, don’t, know, the, meaning, of, half]"
"those long words, and, what’s more, I don’t believe you do either!” And",71,13,"[71.0,13.0]","[0.963384628870272,0.8564860118892829]","[those, long, words,, and,, what’s, more,, i, don’t, believe, you, do, either!”, and]"
the Eaglet bent down its head to hide a smile: some of the other birds,70,15,"[70.0,15.0]","[0.9294415341483986,1.2204272491184758]","[the, eaglet, bent, down, its, head, to, hide, a, smile:, some, of, the, other, birds]"
tittered audibly.,17,2,"[17.0,2.0]","[-0.8695424861108895,-1.145190792871278]","[tittered, audibly.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“What I was going to say,” said the Dodo in an offended tone, “was,",67,14,"[67.0,14.0]","[0.8276122499827785,1.0384566305038794]","[“what, i, was, going, to, say,”, said, the, dodo, in, an, offended, tone,, “was,]"
that the best thing to get us dry would be a Caucus-race.”,58,12,"[58.0,12.0]","[0.5221243974859183,0.6745153932746865]","[that, the, best, thing, to, get, us, dry, would, be, a, caucus-race.”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
“What _is_ a Caucus-race?” said Alice; not that she wanted much to,66,12,"[66.0,12.0]","[0.7936691552609052,0.6745153932746865]","[“what, _is_, a, caucus-race?”, said, alice;, not, that, she, wanted, much, to]"
"know, but the Dodo had paused as if it thought that _somebody_ ought to",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[know,, but, the, dodo, had, paused, as, if, it, thought, that, _somebody_, ought, to]"
"speak, and no one else seemed inclined to say anything.",55,10,"[55.0,10.0]","[0.4202951133202982,0.31057415604549354]","[speak,, and, no, one, else, seemed, inclined, to, say, anything.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Why,” said the Dodo, “the best way to explain it is to do it.” (And,",69,15,"[69.0,15.0]","[0.8954984394265252,1.2204272491184758]","[“why,”, said, the, dodo,, “the, best, way, to, explain, it, is, to, do, it.”, (and,]"
"as you might like to try the thing yourself, some winter day, I will",68,14,"[68.0,14.0]","[0.8615553447046519,1.0384566305038794]","[as, you, might, like, to, try, the, thing, yourself,, some, winter, day,, i, will]"
tell you how the Dodo managed it.),34,7,"[34.0,7.0]","[-0.29250987583904237,-0.23533769979829575]","[tell, you, how, the, dodo, managed, it.)]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"First it marked out a race-course, in a sort of circle, (“the exact",67,13,"[67.0,13.0]","[0.8276122499827785,0.8564860118892829]","[first, it, marked, out, a, race-course,, in, a, sort, of, circle,, (“the, exact]"
"shape doesn’t matter,” it said,) and then all the party were placed",67,12,"[67.0,12.0]","[0.8276122499827785,0.6745153932746865]","[shape, doesn’t, matter,”, it, said,), and, then, all, the, party, were, placed]"
"along the course, here and there. There was no “One, two, three, and",68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[along, the, course,, here, and, there., there, was, no, “one,, two,, three,, and]"
"away,” but they began running when they liked, and left off when they",69,13,"[69.0,13.0]","[0.8954984394265252,0.8564860118892829]","[away,”, but, they, began, running, when, they, liked,, and, left, off, when, they]"
"liked, so that it was not easy to know when the race was over. However,",71,15,"[71.0,15.0]","[0.963384628870272,1.2204272491184758]","[liked,, so, that, it, was, not, easy, to, know, when, the, race, was, over., however,]"
"when they had been running half an hour or so, and were quite dry",65,14,"[65.0,14.0]","[0.7597260605390318,1.0384566305038794]","[when, they, had, been, running, half, an, hour, or, so,, and, were, quite, dry]"
"again, the Dodo suddenly called out “The race is over!” and they all",68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[again,, the, dodo, suddenly, called, out, “the, race, is, over!”, and, they, all]"
"crowded round it, panting, and asking, “But who has won?”",57,10,"[57.0,10.0]","[0.4881813027640449,0.31057415604549354]","[crowded, round, it,, panting,, and, asking,, “but, who, has, won?”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
This question the Dodo could not answer without a great deal of,63,12,"[63.0,12.0]","[0.6918398710952851,0.6745153932746865]","[this, question, the, dodo, could, not, answer, without, a, great, deal, of]"
"thought, and it sat for a long time with one finger pressed upon its",68,14,"[68.0,14.0]","[0.8615553447046519,1.0384566305038794]","[thought,, and, it, sat, for, a, long, time, with, one, finger, pressed, upon, its]"
"forehead (the position in which you usually see Shakespeare, in the",67,11,"[67.0,11.0]","[0.8276122499827785,0.49254477466009]","[forehead, (the, position, in, which, you, usually, see, shakespeare,, in, the]"
"pictures of him), while the rest waited in silence. At last the Dodo",68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[pictures, of, him),, while, the, rest, waited, in, silence., at, last, the, dodo]"
"said, “_Everybody_ has won, and all must have prizes.”",54,9,"[54.0,9.0]","[0.38635201859842483,0.1286035374308971]","[said,, “_everybody_, has, won,, and, all, must, have, prizes.”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
“But who is to give the prizes?” quite a chorus of voices asked.,64,13,"[64.0,13.0]","[0.7257829658171584,0.8564860118892829]","[“but, who, is, to, give, the, prizes?”, quite, a, chorus, of, voices, asked.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Why, _she_, of course,” said the Dodo, pointing to Alice with one",66,12,"[66.0,12.0]","[0.7936691552609052,0.6745153932746865]","[“why,, _she_,, of, course,”, said, the, dodo,, pointing, to, alice, with, one]"
"finger; and the whole party at once crowded round her, calling out in a",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[finger;, and, the, whole, party, at, once, crowded, round, her,, calling, out, in, a]"
"confused way, “Prizes! Prizes!”",31,4,"[31.0,4.0]","[-0.39433916000466246,-0.781249555642085]","[confused, way,, “prizes!, prizes!”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Alice had no idea what to do, and in despair she put her hand in her",68,16,"[68.0,16.0]","[0.8615553447046519,1.4023978677330722]","[alice, had, no, idea, what, to, do,, and, in, despair, she, put, her, hand, in, her]"
"pocket, and pulled out a box of comfits, (luckily the salt water had",68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[pocket,, and, pulled, out, a, box, of, comfits,, (luckily, the, salt, water, had]"
"not got into it), and handed them round as prizes. There was exactly",68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[not, got, into, it),, and, handed, them, round, as, prizes., there, was, exactly]"
"one a-piece, all round.",23,4,"[23.0,4.0]","[-0.6658839177796493,-0.781249555642085]","[one, a-piece,, all, round.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“But she must have a prize herself, you know,” said the Mouse.",62,12,"[62.0,12.0]","[0.6578967763734117,0.6745153932746865]","[“but, she, must, have, a, prize, herself,, you, know,”, said, the, mouse.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Of course,” the Dodo replied very gravely. “What else have you got in",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[“of, course,”, the, dodo, replied, very, gravely., “what, else, have, you, got, in]"
"your pocket?” he went on, turning to Alice.",43,8,"[43.0,8.0]","[0.012977976657817879,-0.053367081183699316]","[your, pocket?”, he, went, on,, turning, to, alice.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Only a thimble,” said Alice sadly.",35,6,"[35.0,6.0]","[-0.258566781117169,-0.4173083184128922]","[“only, a, thimble,”, said, alice, sadly.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Hand it over here,” said the Dodo.",35,7,"[35.0,7.0]","[-0.258566781117169,-0.23533769979829575]","[“hand, it, over, here,”, said, the, dodo.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Then they all crowded round her once more, while the Dodo solemnly",66,12,"[66.0,12.0]","[0.7936691552609052,0.6745153932746865]","[then, they, all, crowded, round, her, once, more,, while, the, dodo, solemnly]"
"presented the thimble, saying “We beg your acceptance of this elegant",69,11,"[69.0,11.0]","[0.8954984394265252,0.49254477466009]","[presented, the, thimble,, saying, “we, beg, your, acceptance, of, this, elegant]"
"thimble;” and, when it had finished this short speech, they all",63,11,"[63.0,11.0]","[0.6918398710952851,0.49254477466009]","[thimble;”, and,, when, it, had, finished, this, short, speech,, they, all]"
cheered.,8,1,"[8.0,1.0]","[-1.1750303386077496,-1.3271614114858743]",[cheered.]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Alice thought the whole thing very absurd, but they all looked so grave",71,13,"[71.0,13.0]","[0.963384628870272,0.8564860118892829]","[alice, thought, the, whole, thing, very, absurd,, but, they, all, looked, so, grave]"
"that she did not dare to laugh; and, as she could not think of anything",71,15,"[71.0,15.0]","[0.963384628870272,1.2204272491184758]","[that, she, did, not, dare, to, laugh;, and,, as, she, could, not, think, of, anything]"
"to say, she simply bowed, and took the thimble, looking as solemn as",68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[to, say,, she, simply, bowed,, and, took, the, thimble,, looking, as, solemn, as]"
she could.,10,2,"[10.0,2.0]","[-1.107144149164003,-1.145190792871278]","[she, could.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
The next thing was to eat the comfits: this caused some noise and,65,13,"[65.0,13.0]","[0.7597260605390318,0.8564860118892829]","[the, next, thing, was, to, eat, the, comfits:, this, caused, some, noise, and]"
"confusion, as the large birds complained that they could not taste",66,11,"[66.0,11.0]","[0.7936691552609052,0.49254477466009]","[confusion,, as, the, large, birds, complained, that, they, could, not, taste]"
"theirs, and the small ones choked and had to be patted on the back.",67,14,"[67.0,14.0]","[0.8276122499827785,1.0384566305038794]","[theirs,, and, the, small, ones, choked, and, had, to, be, patted, on, the, back.]"
"However, it was over at last, and they sat down again in a ring, and",68,15,"[68.0,15.0]","[0.8615553447046519,1.2204272491184758]","[however,, it, was, over, at, last,, and, they, sat, down, again, in, a, ring,, and]"
begged the Mouse to tell them something more.,45,8,"[45.0,8.0]","[0.08086416610156459,-0.053367081183699316]","[begged, the, mouse, to, tell, them, something, more.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“You promised to tell me your history, you know,” said Alice, “and why",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[“you, promised, to, tell, me, your, history,, you, know,”, said, alice,, “and, why]"
"it is you hate—C and D,” she added in a whisper, half afraid that it",68,15,"[68.0,15.0]","[0.8615553447046519,1.2204272491184758]","[it, is, you, hate—c, and, d,”, she, added, in, a, whisper,, half, afraid, that, it]"
would be offended again.,24,4,"[24.0,4.0]","[-0.631940823057776,-0.781249555642085]","[would, be, offended, again.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Mine is a long and a sad tale!” said the Mouse, turning to Alice, and",70,15,"[70.0,15.0]","[0.9294415341483986,1.2204272491184758]","[“mine, is, a, long, and, a, sad, tale!”, said, the, mouse,, turning, to, alice,, and]"
sighing.,8,1,"[8.0,1.0]","[-1.1750303386077496,-1.3271614114858743]",[sighing.]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“It _is_ a long tail, certainly,” said Alice, looking down with wonder",70,12,"[70.0,12.0]","[0.9294415341483986,0.6745153932746865]","[“it, _is_, a, long, tail,, certainly,”, said, alice,, looking, down, with, wonder]"
at the Mouse’s tail; “but why do you call it sad?” And she kept on,66,15,"[66.0,15.0]","[0.7936691552609052,1.2204272491184758]","[at, the, mouse’s, tail;, “but, why, do, you, call, it, sad?”, and, she, kept, on]"
"puzzling about it while the Mouse was speaking, so that her idea of the",71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[puzzling, about, it, while, the, mouse, was, speaking,, so, that, her, idea, of, the]"
tale was something like this:—,30,5,"[30.0,5.0]","[-0.4282822547265358,-0.5992789370274886]","[tale, was, something, like, this:—]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“Fury said to a mouse, That he met in the house, ‘Let us both",70,23,"[70.0,23.0]","[0.9294415341483986,2.676192198035247]","[, , , , , , , , , “fury, said, to, a, mouse,, that, he, met, in, the, house,, ‘let, us, both]"
"go to law: _I_ will prosecute _you_.—Come, I’ll take no",64,19,"[64.0,19.0]","[0.7257829658171584,1.9483097235768614]","[, , , , , , , , , go, to, law:, _i_, will, prosecute, _you_.—come,, i’ll, take, no]"
denial; We must have a trial: For really this morning I’ve,67,20,"[67.0,20.0]","[0.8276122499827785,2.130280342191458]","[, , , , , , , , , denial;, we, must, have, a, trial:, for, really, this, morning, i’ve]"
"nothing to do.’ Said the mouse to the cur, ‘Such a trial, dear",71,22,"[71.0,22.0]","[0.963384628870272,2.4942215794206506]","[, , , , , , , , , nothing, to, do.’, said, the, mouse, to, the, cur,, ‘such, a, trial,, dear]"
"sir, With no jury or judge, would be wasting our breath.’",66,20,"[66.0,20.0]","[0.7936691552609052,2.130280342191458]","[, , , , , , , , , sir,, with, no, jury, or, judge,, would, be, wasting, our, breath.’]"
"‘I’ll be judge, I’ll be jury,’ Said cunning old Fury: ‘I’ll",68,20,"[68.0,20.0]","[0.8615553447046519,2.130280342191458]","[, , , , , , , , , ‘i’ll, be, judge,, i’ll, be, jury,’, said, cunning, old, fury:, ‘i’ll]"
"try the whole cause, and condemn you to death.’”",57,18,"[57.0,18.0]","[0.4881813027640449,1.766339104962265]","[, , , , , , , , , try, the, whole, cause,, and, condemn, you, to, death.’”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
“You are not attending!” said the Mouse to Alice severely. “What are,68,12,"[68.0,12.0]","[0.8615553447046519,0.6745153932746865]","[“you, are, not, attending!”, said, the, mouse, to, alice, severely., “what, are]"
you thinking of?”,17,3,"[17.0,3.0]","[-0.8695424861108895,-0.9632201742566815]","[you, thinking, of?”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“I beg your pardon,” said Alice very humbly: “you had got to the fifth",70,14,"[70.0,14.0]","[0.9294415341483986,1.0384566305038794]","[“i, beg, your, pardon,”, said, alice, very, humbly:, “you, had, got, to, the, fifth]"
"bend, I think?”",15,3,"[15.0,3.0]","[-0.9374286755546362,-0.9632201742566815]","[bend,, i, think?”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“I had _not!_” cried the Mouse, sharply and very angrily.",57,10,"[57.0,10.0]","[0.4881813027640449,0.31057415604549354]","[“i, had, _not!_”, cried, the, mouse,, sharply, and, very, angrily.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“A knot!” said Alice, always ready to make herself useful, and looking",70,12,"[70.0,12.0]","[0.9294415341483986,0.6745153932746865]","[“a, knot!”, said, alice,, always, ready, to, make, herself, useful,, and, looking]"
"anxiously about her. “Oh, do let me help to undo it!”",53,11,"[53.0,11.0]","[0.3524089238765515,0.49254477466009]","[anxiously, about, her., “oh,, do, let, me, help, to, undo, it!”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“I shall do nothing of the sort,” said the Mouse, getting up and",64,13,"[64.0,13.0]","[0.7257829658171584,0.8564860118892829]","[“i, shall, do, nothing, of, the, sort,”, said, the, mouse,, getting, up, and]"
walking away. “You insult me by talking such nonsense!”,55,9,"[55.0,9.0]","[0.4202951133202982,0.1286035374308971]","[walking, away., “you, insult, me, by, talking, such, nonsense!”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“I didn’t mean it!” pleaded poor Alice. “But you’re so easily offended,",71,12,"[71.0,12.0]","[0.963384628870272,0.6745153932746865]","[“i, didn’t, mean, it!”, pleaded, poor, alice., “but, you’re, so, easily, offended,]"
you know!”,10,2,"[10.0,2.0]","[-1.107144149164003,-1.145190792871278]","[you, know!”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
The Mouse only growled in reply.,32,6,"[32.0,6.0]","[-0.36039606528278906,-0.4173083184128922]","[the, mouse, only, growled, in, reply.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
“Please come back and finish your story!” Alice called after it; and,68,12,"[68.0,12.0]","[0.8615553447046519,0.6745153932746865]","[“please, come, back, and, finish, your, story!”, alice, called, after, it;, and]"
"the others all joined in chorus, “Yes, please do!” but the Mouse only",69,13,"[69.0,13.0]","[0.8954984394265252,0.8564860118892829]","[the, others, all, joined, in, chorus,, “yes,, please, do!”, but, the, mouse, only]"
"shook its head impatiently, and walked a little quicker.",56,9,"[56.0,9.0]","[0.4542382080421716,0.1286035374308971]","[shook, its, head, impatiently,, and, walked, a, little, quicker.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“What a pity it wouldn’t stay!” sighed the Lory, as soon as it was",66,14,"[66.0,14.0]","[0.7936691552609052,1.0384566305038794]","[“what, a, pity, it, wouldn’t, stay!”, sighed, the, lory,, as, soon, as, it, was]"
quite out of sight; and an old Crab took the opportunity of saying to,69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[quite, out, of, sight;, and, an, old, crab, took, the, opportunity, of, saying, to]"
"her daughter “Ah, my dear! Let this be a lesson to you never to lose",68,15,"[68.0,15.0]","[0.8615553447046519,1.2204272491184758]","[her, daughter, “ah,, my, dear!, let, this, be, a, lesson, to, you, never, to, lose]"
"_your_ temper!” “Hold your tongue, Ma!” said the young Crab, a little",69,12,"[69.0,12.0]","[0.8954984394265252,0.6745153932746865]","[_your_, temper!”, “hold, your, tongue,, ma!”, said, the, young, crab,, a, little]"
snappishly. “You’re enough to try the patience of an oyster!”,61,10,"[61.0,10.0]","[0.6239536816515383,0.31057415604549354]","[snappishly., “you’re, enough, to, try, the, patience, of, an, oyster!”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“I wish I had our Dinah here, I know I do!” said Alice aloud,",61,14,"[61.0,14.0]","[0.6239536816515383,1.0384566305038794]","[“i, wish, i, had, our, dinah, here,, i, know, i, do!”, said, alice, aloud,]"
addressing nobody in particular. “She’d soon fetch it back!”,60,9,"[60.0,9.0]","[0.590010586929665,0.1286035374308971]","[addressing, nobody, in, particular., “she’d, soon, fetch, it, back!”]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"“And who is Dinah, if I might venture to ask the question?” said the",68,14,"[68.0,14.0]","[0.8615553447046519,1.0384566305038794]","[“and, who, is, dinah,, if, i, might, venture, to, ask, the, question?”, said, the]"
Lory.,5,1,"[5.0,1.0]","[-1.2768596227733697,-1.3271614114858743]",[lory.]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Alice replied eagerly, for she was always ready to talk about her pet:",70,13,"[70.0,13.0]","[0.9294415341483986,0.8564860118892829]","[alice, replied, eagerly,, for, she, was, always, ready, to, talk, about, her, pet:]"
“Dinah’s our cat. And she’s such a capital one for catching mice you,68,13,"[68.0,13.0]","[0.8615553447046519,0.8564860118892829]","[“dinah’s, our, cat., and, she’s, such, a, capital, one, for, catching, mice, you]"
